[2023-02-20T03:24:32.894708+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.DEBUG: This is debug [] []
[2023-02-20T06:40:45.102845+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-20 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102922+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-21 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102998+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-22 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103074+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-23 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103151+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-24 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103228+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-25 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103383+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-26 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103517+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-27 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103802+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-28 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.103968+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-29 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104107+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-30 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104241+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-31 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104397+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-32 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104492+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-33 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104645+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-34 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104731+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-35 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104808+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-36 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104884+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-37 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.104959+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-38 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105035+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-39 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105109+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-40 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105185+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-41 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105260+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-42 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105335+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-43 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105410+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-44 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105529+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-45 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105708+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-46 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.105872+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-47 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106039+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-48 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106184+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-49 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106312+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-50 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106445+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-51 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106577+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-52 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106719+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-53 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106857+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-54 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.106998+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-55 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107088+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-56 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107165+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-57 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107242+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-58 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107317+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-59 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107393+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-60 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107469+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-61 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107556+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-62 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107717+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-63 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107800+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-64 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107878+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-65 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.107955+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-66 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108031+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-67 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108154+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-68 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108237+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-69 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108315+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-70 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108506+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-71 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108596+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-72 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108701+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-73 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108784+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-74 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108861+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-75 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.108938+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-76 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109015+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-77 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109091+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-78 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109166+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-79 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109242+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-80 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109317+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-81 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109392+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-82 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109468+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-83 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109543+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-84 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109619+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-85 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109695+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-86 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109769+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-87 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109845+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-88 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.109920+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-89 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110065+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-90 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110146+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-91 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110222+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-92 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110298+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-93 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110373+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-94 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110448+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-95 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110527+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-96 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110603+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-97 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110679+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-98 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110755+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-99 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110830+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-100 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.110913+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-101 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
